CardNumber,Model,Series Name,Seating,Type,Brand,Color,Price,Displacement_Type,Fuel Type,Mileage_type,Transmission Type,Airbags,Entertainment,ABS,Center Locking,Child Locking,Steering Adjustment,Keyless Start,Cruise Control,Parking Sensors,Rating
CRD122,Hyundai Grand i10 - Asta U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Keyless,Yes,Tilt,Yes,No,Rear,4
CRD123,Hyundai Grand i10 - Era 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Entry,Medium,Petrol,Medium,Manual,1,No,No,No,Yes,No,No,No,No,3
CRD124,Hyundai Grand i10 - Era U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Diesel,Medium,Manual,1,No,No,No,Yes,No,No,No,No,5.7
CRD125,Hyundai Grand i10 - Magna 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Medium,Manual,1,No,No,Manual,Yes,No,No,No,No,9.6
CRD126,Hyundai Grand i10 - Magna AT 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Low,Automatic,1,No,No,Manual,Yes,No,No,No,No,3.6
CRD127,Hyundai Grand i10 - Magna U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Diesel,Medium,Manual,1,No,No,Manual,Yes,No,No,No,No,2.7
CRD128,Hyundai Grand i10 - Sportz (O) 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,8.3
CRD129,Hyundai Grand i10 - Sportz (O) AT 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Low,Automatic,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,0.2
CRD130,Hyundai Grand i10 - Sportz (O) U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Diesel,Medium,Manual,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,7.8
CRD131,Hyundai Grand i10 - Sportz 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,6.8
CRD132,Hyundai Grand i10 - Sportz U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,3.7
CRD133,Hyundai Grand i10 - Asta 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Keyless,Yes,Tilt,Yes,No,Rear,4.4
CRD134,Hyundai Grand i10 - Asta U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Keyless,Yes,Tilt,Yes,No,Rear,0.1
CRD135,Hyundai Grand i10 - Era 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Entry,Medium,Petrol,Medium,Manual,1,No,No,No,Yes,No,No,No,No,4.2
CRD136,Hyundai Grand i10 - Era U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Diesel,Medium,Manual,1,No,No,No,Yes,No,No,No,No,0.9
CRD137,Hyundai Grand i10 - Magna 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Medium,Manual,1,No,No,Manual,Yes,No,No,No,No,7.7
CRD138,Hyundai Grand i10 - Magna AT 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Low,Automatic,1,No,No,Manual,Yes,No,No,No,No,2.8
CRD139,Hyundai Grand i10 - Magna U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Diesel,Medium,Manual,1,No,No,Manual,Yes,No,No,No,No,8.1
CRD140,Hyundai Grand i10 - Sportz (O) 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,1.2
CRD141,Hyundai Grand i10 - Sportz (O) AT 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Low,Automatic,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,2.7
CRD142,Hyundai Grand i10 - Sportz (O) U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Diesel,Medium,Manual,2,Advanced,No,Remote,Yes,Tilt,No,No,Rear,5
CRD143,Hyundai Grand i10 - Sportz 1.2 Kappa VTVT,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Medium,Manual,2,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,6.7
CRD144,Hyundai Grand i10 - Sportz U2 1.2 CRDi,Hyundai Grand i10,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,5.9
CRD145,Hyundai Elite i20 - Asta 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,1.7
CRD146,Hyundai Elite i20 - Asta 1.2 (O),Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,High,Petrol,Low,Manual,6,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,1.4
CRD147,Hyundai Elite i20 - Asta 1.2 Dual Tone,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,6.7
CRD148,Hyundai Elite i20 - Asta 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,9.7
CRD149,Hyundai Elite i20 - Asta 1.4 CRDI (O),Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Premium,High,Diesel,Medium,Manual,6,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,8.9
CRD150,Hyundai Elite i20 - Asta 1.4 CRDI Dual Tone,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,9.5
CRD151,Hyundai Elite i20 - Era 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Low,Manual,2,No,No,Manual,Yes,No,No,No,No,0.9
CRD152,Hyundai Elite i20 - Era 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,High,Diesel,Medium,Manual,2,No,No,Manual,Yes,No,No,No,No,2.9
CRD153,Hyundai Elite i20 - Magna 1.4 AT,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Premium,High,Petrol,High,Automatic,2,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,1.3
CRD154,Hyundai Elite i20 - Magna Executive 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Low,Manual,2,Basic,No,Manual,Yes,No,No,No,No,9.2
CRD155,Hyundai Elite i20 - Magna Executive 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,High,Diesel,Medium,Manual,2,Basic,No,Manual,Yes,No,No,No,No,2.8
CRD156,Hyundai Elite i20 - Sportz 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,Medium,Petrol,Low,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,No,No,No,No,3.8
CRD157,Hyundai Elite i20 - Sportz 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Black,Mid-Range,High,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,No,No,No,No,5.3
CRD158,Hyundai Elite i20 - Asta 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,4.3
CRD159,Hyundai Elite i20 - Asta 1.2 (O),Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,High,Petrol,Low,Manual,6,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,7.2
CRD160,Hyundai Elite i20 - Asta 1.2 Dual Tone,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,3
CRD161,Hyundai Elite i20 - Asta 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,8
CRD162,Hyundai Elite i20 - Asta 1.4 CRDI (O),Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Premium,High,Diesel,Medium,Manual,6,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,8.8
CRD163,Hyundai Elite i20 - Asta 1.4 CRDI Dual Tone,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,7.7
CRD164,Hyundai Elite i20 - Era 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Low,Manual,2,No,No,Manual,Yes,No,No,No,No,3.6
CRD165,Hyundai Elite i20 - Era 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,High,Diesel,Medium,Manual,2,No,No,Manual,Yes,No,No,No,No,7.9
CRD166,Hyundai Elite i20 - Magna 1.4 AT,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Premium,High,Petrol,High,Automatic,2,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,7.8
CRD167,Hyundai Elite i20 - Magna Executive 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Low,Manual,2,Basic,No,Manual,Yes,No,No,No,No,1.3
CRD168,Hyundai Elite i20 - Magna Executive 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,High,Diesel,Medium,Manual,2,Basic,No,Manual,Yes,No,No,No,No,6.5
CRD169,Hyundai Elite i20 - Sportz 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,Medium,Petrol,Low,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,No,No,No,No,5.4
CRD170,Hyundai Elite i20 - Sportz 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,Color,Mid-Range,High,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,No,No,No,No,1.9
CRD171,Hyundai Elite i20 - Asta 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,0.5
CRD172,Hyundai Elite i20 - Asta 1.2 (O),Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,High,Petrol,Low,Manual,6,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,1.6
CRD173,Hyundai Elite i20 - Asta 1.2 Dual Tone,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,4.6
CRD174,Hyundai Elite i20 - Asta 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,4.1
CRD175,Hyundai Elite i20 - Asta 1.4 CRDI (O),Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Premium,High,Diesel,Medium,Manual,6,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,9.8
CRD176,Hyundai Elite i20 - Asta 1.4 CRDI Dual Tone,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,No,No,Rear,1.3
CRD177,Hyundai Elite i20 - Era 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Low,Manual,2,No,No,Manual,Yes,No,No,No,No,6.3
CRD178,Hyundai Elite i20 - Era 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,High,Diesel,Medium,Manual,2,No,No,Manual,Yes,No,No,No,No,8.9
CRD179,Hyundai Elite i20 - Magna 1.4 AT,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Premium,High,Petrol,High,Automatic,2,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,1.2
CRD180,Hyundai Elite i20 - Magna Executive 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Low,Manual,2,Basic,No,Manual,Yes,No,No,No,No,2.9
CRD181,Hyundai Elite i20 - Magna Executive 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,High,Diesel,Medium,Manual,2,Basic,No,Manual,Yes,No,No,No,No,8.8
CRD182,Hyundai Elite i20 - Sportz 1.2,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,Medium,Petrol,Low,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,No,No,No,No,7.8
CRD183,Hyundai Elite i20 - Sportz 1.4 CRDI,Hyundai Elite i20,Up to 5,Hatchback,Hyundai,White,Mid-Range,High,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,No,No,No,No,7.4
CRD184,Maruti WagonR - Lxi,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Low,Manual,0,No,No,Manual,Yes,No,No,No,No,8.8
CRD185,Maruti WagonR - Lxi ABS,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Low,Manual,2,No,Yes,Manual,Yes,No,No,No,No,5.3
CRD186,Maruti WagonR - LXI CNG,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,CNG,High,Manual,0,No,No,Manual,Yes,No,No,No,No,8.8
CRD187,Maruti WagonR - LXI CNG (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,CNG,High,Manual,2,No,No,Manual,Yes,No,No,No,No,7.2
CRD188,Maruti WagonR - Vxi,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Remote,Yes,Tilt,No,No,No,9.4
CRD189,Maruti WagonR - Vxi ABS,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,7.2
CRD190,Maruti WagonR - Vxi AMT,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Medium,Automatic,0,Basic,No,Remote,Yes,Tilt,No,No,No,2.2
CRD191,Maruti WagonR - Vxi AMT (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Low,Petrol,Medium,Automatic,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,7.1
CRD192,Maruti WagonR R 1.0 - VXI+,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Remote,Yes,Tilt,No,No,No,4.8
CRD193,Maruti WagonR R 1.0 - VXI+ (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,6.1
CRD194,Maruti WagonR R 1.0 - VXI+ AMT,Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Low,Petrol,Medium,Automatic,0,Basic,No,Remote,Yes,Tilt,No,No,No,6.1
CRD195,Maruti WagonR R 1.0 - VXI+ AMT (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Black,Mid-Range,Low,Petrol,Medium,Automatic,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,1
CRD196,Maruti WagonR - Lxi,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Low,Manual,0,No,No,Manual,Yes,No,No,No,No,6.3
CRD197,Maruti WagonR - Lxi ABS,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Low,Manual,2,No,Yes,Manual,Yes,No,No,No,No,8.2
CRD198,Maruti WagonR - LXI CNG,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,CNG,High,Manual,0,No,No,Manual,Yes,No,No,No,No,0.7
CRD199,Maruti WagonR - LXI CNG (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,CNG,High,Manual,2,No,No,Manual,Yes,No,No,No,No,0.6
CRD200,Maruti WagonR - Vxi,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Remote,Yes,Tilt,No,No,No,5
CRD201,Maruti WagonR - Vxi ABS,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,4.7
CRD202,Maruti WagonR - Vxi AMT,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Medium,Automatic,0,Basic,No,Remote,Yes,Tilt,No,No,No,0.7
CRD203,Maruti WagonR - Vxi AMT (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Low,Petrol,Medium,Automatic,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,8.4
CRD204,Maruti WagonR R 1.0 - VXI+,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Remote,Yes,Tilt,No,No,No,1.2
CRD205,Maruti WagonR R 1.0 - VXI+ (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,6.4
CRD206,Maruti WagonR R 1.0 - VXI+ AMT,Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Low,Petrol,Medium,Automatic,0,Basic,No,Remote,Yes,Tilt,No,No,No,8.3
CRD207,Maruti WagonR R 1.0 - VXI+ AMT (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,Color,Mid-Range,Low,Petrol,Medium,Automatic,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,9.6
CRD208,Maruti WagonR - Lxi,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Low,Manual,0,No,No,Manual,Yes,No,No,No,No,7.3
CRD209,Maruti WagonR - Lxi ABS,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Low,Manual,2,No,Yes,Manual,Yes,No,No,No,No,1.3
CRD210,Maruti WagonR - LXI CNG,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,CNG,High,Manual,0,No,No,Manual,Yes,No,No,No,No,1.8
CRD211,Maruti WagonR - LXI CNG (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,CNG,High,Manual,2,No,No,Manual,Yes,No,No,No,No,0.4
CRD212,Maruti WagonR - Vxi,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Remote,Yes,Tilt,No,No,No,1.4
CRD213,Maruti WagonR - Vxi ABS,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,0.9
CRD214,Maruti WagonR - Vxi AMT,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Medium,Automatic,0,Basic,No,Remote,Yes,Tilt,No,No,No,5.8
CRD215,Maruti WagonR - Vxi AMT (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Mid-Range,Low,Petrol,Medium,Automatic,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,5.6
CRD216,Maruti WagonR R 1.0 - VXI+,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Remote,Yes,Tilt,No,No,No,0.6
CRD217,Maruti WagonR R 1.0 - VXI+ (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,5.4
CRD218,Maruti WagonR R 1.0 - VXI+ AMT,Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Mid-Range,Low,Petrol,Medium,Automatic,0,Basic,No,Remote,Yes,Tilt,No,No,No,0.9
CRD219,Maruti WagonR R 1.0 - VXI+ AMT (O),Maruti WagonR,Up to 5,Hatchback,Suzuki,White,Mid-Range,Low,Petrol,Medium,Automatic,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,3.1
CRD220,Renault KWID - 1.0 RXL,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Medium,Petrol,Medium,Manual,0,Basic + Bluetooth,No,No,Yes,No,No,No,No,9.7
CRD221,Renault KWID - 1.0 RXL AMT,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Medium,Petrol,Medium,Automatic,0,Basic + Bluetooth,No,No,Yes,No,No,No,No,9.8
CRD222,Renault KWID - 1.0 RXT,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Medium,Petrol,Medium,Manual,0,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,9.7
CRD223,Renault KWID - 1.0 RXT AMT Opt,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Medium,Petrol,Medium,Automatic,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,6.1
CRD224,Renault KWID - 1.0 RXT Opt,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Medium,Petrol,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,6.7
CRD225,Renault KWID - CLIMBER 1.0,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Medium,Petrol,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,9.6
CRD226,Renault KWID - CLIMBER 1.0 AMT,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Medium,Petrol,Medium,Automatic,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,1
CRD227,Renault KWID - RXE,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Low,Petrol,High,Manual,0,No,No,No,Yes,No,No,No,No,2.8
CRD228,Renault KWID - RXL,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Low,Petrol,High,Manual,0,Basic,No,No,Yes,No,No,No,No,8.2
CRD229,Renault KWID - RXT,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Low,Petrol,High,Manual,0,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,3.8
CRD230,Renault KWID - RXT Opt,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Low,Petrol,High,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,3
CRD231,Renault KWID - STD,Renault KWID,Up to 5,Hatchback,Renault,Black,Entry,Low,Petrol,High,No,0,No,No,No,Yes,No,No,No,No,1.3
CRD232,Renault KWID - 1.0 RXL,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Medium,Petrol,Medium,Manual,0,Basic + Bluetooth,No,No,Yes,No,No,No,No,4.4
CRD233,Renault KWID - 1.0 RXL AMT,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Medium,Petrol,Medium,Automatic,0,Basic + Bluetooth,No,No,Yes,No,No,No,No,0.6
CRD234,Renault KWID - 1.0 RXT,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Medium,Petrol,Medium,Manual,0,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,9.3
CRD235,Renault KWID - 1.0 RXT AMT Opt,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Medium,Petrol,Medium,Automatic,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,7.4
CRD236,Renault KWID - 1.0 RXT Opt,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Medium,Petrol,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,1
CRD237,Renault KWID - CLIMBER 1.0,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Medium,Petrol,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,4.4
CRD238,Renault KWID - CLIMBER 1.0 AMT,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Medium,Petrol,Medium,Automatic,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,5
CRD239,Renault KWID - RXE,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Low,Petrol,High,Manual,0,No,No,No,Yes,No,No,No,No,5.7
CRD240,Renault KWID - RXL,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Low,Petrol,High,Manual,0,Basic,No,No,Yes,No,No,No,No,7.8
CRD241,Renault KWID - RXT,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Low,Petrol,High,Manual,0,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,8.2
CRD242,Renault KWID - RXT Opt,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Low,Petrol,High,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,2
CRD243,Renault KWID - STD,Renault KWID,Up to 5,Hatchback,Renault,Color,Entry,Low,Petrol,High,No,0,No,No,No,Yes,No,No,No,No,3.4
CRD244,Renault KWID - 1.0 RXL,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Medium,Petrol,Medium,Manual,0,Basic + Bluetooth,No,No,Yes,No,No,No,No,6.4
CRD245,Renault KWID - 1.0 RXL AMT,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Medium,Petrol,Medium,Automatic,0,Basic + Bluetooth,No,No,Yes,No,No,No,No,5.6
CRD246,Renault KWID - 1.0 RXT,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Medium,Petrol,Medium,Manual,0,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,7.4
